tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt0116905	movie	Lone Star	Lone Star	1996	135	Drama,Mystery,Western	7.4	34091	nm0000626	nm0000626	"(nm0177933,actor,[""Sam""]),(nm0001615,actress,[""Pilar""]),(nm0579116,actor,[""Cliff""]),(nm0485917,actor,[""Mikey""]),(nm0483917,actress,[""Celie""]),(nm0504441,actress,[""Molly""]),(nm0828494,actor,[""Deputy Travis""]),(nm0145084,actor,[""Amado""]),(nm0168044,actor,[""Enrique""]),(nm0416378,actor,[""Hollis""])"	1	0
tt0116980	movie	Mandela	Mandela	1996	118	Biography,Documentary,History	7.0	411	nm0316841,nm0579450	\N		1	0
tt0116999	movie	Marvin's Room	Marvin's Room	1996	98	Drama	6.7	30948	nm0952360	nm0574259	"(nm0000658,actress,[""Lee""]),(nm0000138,actor,[""Hank""]),(nm0000473,actress,[""Bessie""]),(nm0000134,actor,[""Dr. Wally""]),(nm0002025,actor,[""Marvin""]),(nm0893862,actress,[""Ruth""]),(nm0769136,actor,[""Charlie""]),(nm0000445,actor,[""Bob""]),(nm0553269,actress,[""Dr. Charlotte""]),(nm0633223,actress,[""Retirement Home Director""])"	1	0
tt0117039	movie	Michael Collins	Michael Collins	1996	133	Biography,Drama,History	7.1	35021	nm0001403	nm0001403	"(nm0000553,actor,[""Michael Collins""]),(nm0001644,actor,[""Harry Boland""]),(nm0000210,actress,[""Kitty Kiernan""]),(nm0001324,actor,[""Joe O'Reilly""]),(nm0409023,actor,[""British Officer""]),(nm0448584,actor,[""Patrick Pearse""]),(nm0564601,actor,[""Thomas MacDonagh""]),(nm0641596,actor,[""Thomas Clarke""]),(nm0245516,actor,[""James Connolly""]),(nm0614496,actor,[""Captain Lee-Wilson""])"	2	0
tt0117050	movie	A Chef in Love	Shekvarebuli kulinaris ataserti retsepti	1996	100	Comedy,Romance	6.6	849	nm0246159	nm0476993,nm0334420,nm0246159	"(nm0007069,actor,[""Pascal Ichak""]),(nm0457038,actress,[""Cecile Abachidze""]),(nm0696163,actress,[""Marcelle Ichak""]),(nm0310352,actor,[""Anton Gogoladze""]),(nm0436794,actor,[""Zigmund Gogladze""]),(nm0158528,actor,[""Anton Gogoladze""]),(nm0442680,actor,[""Le Président""]),(nm0685345,actor,[""Platoon""]),(nm0409642,actress,[""Mme. Kollontai""]),(nm0435376,actress,[""Secretary with Shaved Head""])"	1	0
tt0117057	movie	The Mirror Has Two Faces	The Mirror Has Two Faces	1996	126	Comedy,Drama,Romance	6.6	24172	nm0000659	nm0147158,nm0653620,nm0481418,nm0024894,nm0674592	"(nm0000659,actress,[""Rose Morgan""]),(nm0000313,actor,[""Gregory Larkin""]),(nm0000002,actress,[""Hannah Morgan""]),(nm0001719,actor,[""Henry Fine""]),(nm0000211,actress,[""Claire""]),(nm0000112,actor,[""Alex""]),(nm0882853,actress,[""Doris""]),(nm0671721,actor,[""Barry""]),(nm0000512,actress,[""Candy""]),(nm0550497,actress,[""First Girl Student""])"	2	0
tt0117218	movie	The Nutty Professor	The Nutty Professor	1996	95	Comedy,Romance,Sci-Fi	5.7	127426	nm0001723	nm0001471,nm0725075,nm0790775,nm0087904,nm0001723,nm0644203	"(nm0000552,actor,[""Sherman Klump""]),(nm0000552,actor,[""Buddy Love""]),(nm0000552,actor,[""Lance Perkins""]),(nm0000586,actress,[""Carla Purty""]),(nm0000336,actor,[""Harlan Hartley""]),(nm0588777,actor,[""Dean Richmond""]),(nm0152638,actor,[""Reggie Warrington""]),(nm0018099,actor,[""Jason""]),(nm0933939,actress,[""Dean's Secretary""]),(nm0594301,actor,[""Ernie Klump Jr.""]),(nm0564174,actress,[""Fit Woman""]),(nm0903200,actor,[""Health Instructor""])"	1	1
tt0117247	movie	One Fine Day	One Fine Day	1996	108	Comedy,Drama,Romance	6.5	49566	nm0001355	nm0783559,nm0800124	"(nm0000201,actress,[""Melanie Parker""]),(nm0000123,actor,[""Jack Taylor""]),(nm0926165,actress,[""Maggie Taylor""]),(nm0513281,actor,[""Sammy Parker""]),(nm0001164,actor,[""Lew""]),(nm0047976,actor,[""Yates, Jr.""]),(nm0338746,actress,[""Elaine Lieberman""]),(nm0341055,actor,[""Manny Feldstein""]),(nm0357687,actor,[""Frank Burroughs""]),(nm0395428,actress,[""Evelyn""])"	1	0
tt0117318	movie	The People vs. Larry Flynt	The People vs. Larry Flynt	1996	130	Biography,Drama	7.3	103228	nm0001232	nm0018735,nm0438989	"(nm0000437,actor,[""Larry Flynt""]),(nm0001482,actress,[""Althea Leasure Flynt""]),(nm0001570,actor,[""Alan Isaacman""]),(nm0364126,actor,[""Jimmy Flynt""]),(nm0360535,actress,[""Ruth Carter Stapleton""]),(nm0000342,actor,[""Charles Keating""]),(nm0000417,actor,[""Arlo""]),(nm0001704,actor,[""Chester""]),(nm0152187,actor,[""Miles""]),(nm0142598,actor,[""Simon Leis""])"	2	0
tt0117364	movie	The Portrait of a Lady	The Portrait of a Lady	1996	144	Drama,Romance	6.2	13185	nm0001005	nm0416556,nm0428630	"(nm0000173,actress,[""Isabel Archer""]),(nm0000518,actor,[""Gilbert Osmond""]),(nm0001347,actress,[""Madame Serena Merle""]),(nm0233027,actor,[""Ralph Touchett""]),(nm0000571,actress,[""Henrietta Stackpole""]),(nm0001859,actress,[""Mrs. Touchett""]),(nm0001290,actor,[""Lord Warburton""]),(nm0001167,actress,[""Countess Gemini""]),(nm0000288,actor,[""Edward Rosier""]),(nm0001557,actor,[""Caspar Goodwood""])"	2	0
